Province,YEAR,QUARTER,Variable,Value,YearQuarter
Quebec,2022,2,Unemployment Rate,4.366666667,2022-Q2
Quebec,2022,3,Unemployment Rate,4.266666667,2022-Q3
Quebec,2022,4,Unemployment Rate,3.966666667,2022-Q4
Quebec,2023,1,Unemployment Rate,4.2,2023-Q1
Quebec,2023,2,Unemployment Rate,4.2,2023-Q2
Quebec,2023,3,Unemployment Rate,4.45,2023-Q3
Saskatchewan,2021,2,Unemployment Rate,6.566666667,2021-Q2
Saskatchewan,2021,3,Unemployment Rate,6.633333333,2021-Q3
Saskatchewan,2021,4,Unemployment Rate,5.666666667,2021-Q4
Saskatchewan,2022,1,Unemployment Rate,4.966666667,2022-Q1
Saskatchewan,2022,2,Unemployment Rate,4.6,2022-Q2
Saskatchewan,2022,3,Unemployment Rate,4.3,2022-Q3
Saskatchewan,2022,4,Unemployment Rate,4.533333333,2022-Q4
Saskatchewan,2023,1,Unemployment Rate,4.433333333,2023-Q1
Saskatchewan,2023,2,Unemployment Rate,4.566666667,2023-Q2
Saskatchewan,2023,3,Unemployment Rate,5.1,2023-Q3
